Ecole;Ville;Place
Télécom Nancy;;26
Télécom Physique Strasbourg;;10
ENSIIE;Evry;12
Télécom SudParis;;24
ISAE-Supaero;;10
Centrale Nantes;;5
Isima;Clermont-Ferrand;20
CentraleSupélec;Paris;32
ENS Lyon;;
ENS Paris-Saclay;;
Télécom Paris;;35
